id,content.event,Partly,TheWhole
72678400833228800,joplinTornado2011,[],[]
72787965184716800,joplinTornado2011,[],[]
72871116724633600,joplinTornado2011,"['SubEvent1', 'SubEvent2', 'SubEvent4', 'SubEvent20']",[]
73023697123938304,joplinTornado2011,[],[]
73050416832708608,joplinTornado2011,[],[]
73151882612326400,joplinTornado2011,['SubEvent17'],[]
73212444264243200,joplinTornado2011,"['SubEvent4', 'SubEvent5', 'SubEvent9']",['SubEvent7']
73214313971712000,joplinTornado2011,['SubEvent7'],[]
73429563790737408,joplinTornado2011,[],[]
73432425660825600,joplinTornado2011,"['SubEvent1', 'SubEvent16']",[]
73562498883784704,joplinTornado2011,[],[]
73823143323643904,joplinTornado2011,"['SubEvent4', 'SubEvent5', 'SubEvent10', 'SubEvent13']",[]
73894035332399104,joplinTornado2011,['SubEvent20'],[]
74209988796616704,joplinTornado2011,"['SubEvent5', 'SubEvent10', 'SubEvent13', 'SubEvent19', 'SubEvent20']",[]
77720662453649408,joplinTornado2011,"['SubEvent4', 'SubEvent5', 'SubEvent13', 'SubEvent14', 'SubEvent15', 'SubEvent16', 'SubEvent19', 'SubEvent20']",['SubEvent10']
78495934572539904,joplinTornado2011,"['SubEvent7', 'SubEvent11']",[]
79715771021918208,joplinTornado2011,"['SubEvent7', 'SubEvent9', 'SubEvent14']",[]
204101208015769600,italyEarthquakes2012,"['SubEvent21', 'SubEvent22', 'SubEvent23']",[]
204144421904723969,italyEarthquakes2012,"['SubEvent21', 'SubEvent22', 'SubEvent23']",[]
204165208879546368,italyEarthquakes2012,"['SubEvent21', 'SubEvent22', 'SubEvent23']",[]
204195361726808064,italyEarthquakes2012,"['SubEvent21', 'SubEvent22', 'SubEvent23']",[]
204357102486032384,italyEarthquakes2012,[],[]
204471661519585280,italyEarthquakes2012,"['SubEvent21', 'SubEvent22', 'SubEvent23']",[]
204555593724346369,italyEarthquakes2012,"['SubEvent22', 'SubEvent23']",['SubEvent21']
204618743152775168,italyEarthquakes2012,[],[]
205105508925972481,italyEarthquakes2012,[],[]
207393052967440384,italyEarthquakes2012,"['SubEvent21', 'SubEvent22', 'SubEvent23']",[]
207468177138003968,italyEarthquakes2012,"['SubEvent21', 'SubEvent22', 'SubEvent23']",[]
207567443726581761,italyEarthquakes2012,"['SubEvent21', 'SubEvent22', 'SubEvent23']",[]
207761270907224064,italyEarthquakes2012,[],[]
207811501887721472,italyEarthquakes2012,[],[]
207898768610312192,italyEarthquakes2012,[],[]
209395929592238081,italyEarthquakes2012,"['SubEvent21', 'SubEvent22']",[]
232916596555907073,philipinnesFloods2012,[],[]
232919062806675456,philipinnesFloods2012,[],['SubEvent31']
233148805846011904,philipinnesFloods2012,[],['SubEvent28']
233012889387147265,philipinnesFloods2012,[],['SubEvent26']
245689833522098177,costaRicaEarthquake2012,['SubEvent32'],[]
266222126007197696,guatemalaEarthquake2012,['SubEvent33'],[]
266223501705355266,guatemalaEarthquake2012,['SubEvent33'],[]
266231957447376896,guatemalaEarthquake2012,['SubEvent33'],[]
266234029412605952,guatemalaEarthquake2012,['SubEvent33'],[]
266244359991721984,guatemalaEarthquake2012,['SubEvent33'],[]
266263947395624960,guatemalaEarthquake2012,['SubEvent33'],[]
266275586610196481,guatemalaEarthquake2012,[],[]
266303654892552192,guatemalaEarthquake2012,['SubEvent33'],[]
266380041519243265,guatemalaEarthquake2012,['SubEvent33'],[]
266423813309353985,guatemalaEarthquake2012,['SubEvent33'],[]
266474979590303744,guatemalaEarthquake2012,['SubEvent33'],[]
266488594301071360,guatemalaEarthquake2012,['SubEvent33'],[]
266577916203257856,guatemalaEarthquake2012,['SubEvent33'],[]
266591325397344256,guatemalaEarthquake2012,['SubEvent33'],[]
266884511441252352,guatemalaEarthquake2012,['SubEvent33'],[]
266952564053000192,guatemalaEarthquake2012,[],[]
267758554054787072,guatemalaEarthquake2012,['SubEvent33'],[]
267765248193339392,guatemalaEarthquake2012,['SubEvent33'],[]
268001748201922561,guatemalaEarthquake2012,[],[]
293846957166833664,queenslandFloods2013,[],[]
293904771461562368,queenslandFloods2013,[],[]
293925403238748161,queenslandFloods2013,[],[]
293965794398859265,queenslandFloods2013,"['SubEvent34', 'SubEvent36', 'SubEvent37']",[]
293978649948979201,queenslandFloods2013,"['SubEvent34', 'SubEvent37']",[]
294219100979343360,queenslandFloods2013,[],[]
294240391300005889,queenslandFloods2013,['SubEvent34'],[]
294366161687150592,queenslandFloods2013,['SubEvent34'],[]
294383769383739392,queenslandFloods2013,['SubEvent34'],[]
294405693010755584,queenslandFloods2013,[],[]
294592310157647875,queenslandFloods2013,[],[]
294673100845490177,queenslandFloods2013,['SubEvent34'],[]
294763987239854080,queenslandFloods2013,[],[]
294765144850984960,queenslandFloods2013,[],[]
294839698591981568,queenslandFloods2013,"['SubEvent34', 'SubEvent36', 'SubEvent37']",[]
294888574833270784,queenslandFloods2013,['SubEvent35'],[]
294959261455372288,queenslandFloods2013,[],[]
294960435843719169,queenslandFloods2013,"['SubEvent35', 'SubEvent37']",['SubEvent34']
294998411080507392,queenslandFloods2013,['SubEvent34'],[]
294999522558504960,queenslandFloods2013,[],[]
295020468925239297,queenslandFloods2013,"['SubEvent34', 'SubEvent37']",[]
295020598957051904,queenslandFloods2013,['SubEvent34'],[]
295040974848159745,queenslandFloods2013,[],[]
295045731205672960,queenslandFloods2013,[],[]
295058347676274688,queenslandFloods2013,[],[]
295075074569023488,queenslandFloods2013,[],[]
295082720781021185,queenslandFloods2013,[],[]
