id,text
SubEvent1,"A tornado in the US town of Reading, Kansas kills at least one person and destroys 20 homes. (CNN), (KSN)"
SubEvent2,"Tornados hit the city of Minneapolis, Minnesota, damaging scores of homes and killing at least one person. (AP via Saint Cloud Times) (Minneapolis Star-Tribune)"
SubEvent3,A curfew is introduced in Minneapolis following reports of looting and gunfire. (Fox Twin Cities)
SubEvent4,"The city of Joplin, Missouri, is hit by a tornado, causing 'major damage' in the downtown area and at least 30 fatalities. (News Leader), (CNN), (News Leader), (Reuters via Yahoo News)"
SubEvent5,"Jay Nixon, the Governor of Missouri, declares a state of emergency in the state following the Joplin tornado and activates the Missouri National Guard. (Missouri Governor)"
SubEvent6,Patients are evacuated from St John's Regional Medical Centre in Joplin due to damage caused by the tornado. (News-Leader)
SubEvent7,Tornado warnings were posted in states from Texas to Michigan. (AP)
SubEvent8,Interstate 44 is closed near Joplin after the tornado hit. (News Leader)
SubEvent9,"The National Weather Service continues issuing tornado warnings for parts of the Central United States, including Arkansas, Oklahoma and Missouri. (NOAA)"
SubEvent10,"The death toll from the Joplin, Missouri, tornado reaches 116, becoming the deadliest single US tornado since 1947. (Joplin Globe)"
SubEvent11,"There are reports of multiple structure collapses following a heavy storm and possible tornado in the village of Richfield, Pennsylvania. (ABC 27)"
SubEvent12,"A severe storm in Cincinnati, Ohio knocks out power to 84,000 homes. (Cincinnati.com)"
SubEvent13,"The search continues for survivors of the 2011 Joplin tornado as 1,500 people are unaccounted for in the US town. (New York Times)"
SubEvent14,"At least five people die and many more are injured as tornadoes and severe storms hit near the US city of Oklahoma City. (CNN), (The Oklahoman)"
SubEvent15,Two people are killed in a tornado in central Kansas. (Wichita Eagle)
SubEvent16,"Powerful storms and tornadoes continue across the Central United States, claiming at least 10 more lives across Arkansas, Kansas and Oklahoma. (CNN)"
SubEvent17,"Severe storms in the US city of Atlanta, Georgia, kill at least three people and leave 193,000 people without power. (Atlanta Georgia-Constitution)"
SubEvent18,"Storms in the US state of Michigan lead to the loss of power to 100,000 houses. (Detroit Free Press)"
SubEvent19,"The names of 123 victims of the tornado that hit the US city of Joplin, Missouri are released. (KCTV)"
SubEvent20,"The cleanup efforts begin in the U.S. city of Joplin, Missouri, after the recent 2011 Joplin tornado with the death toll confirmed at 134. (KSPR)[permanent dead link], (News Leader)"
SubEvent21,At least 6 people are killed and dozens injured when a 6.0-magnitude earthquake strikes northern Italy. (BBC) (Los Angeles Times)
SubEvent22,"A 5.8-magnitude earthquake rocks northern Italy near Bologna, killing at least 24 people. (Al Jazeera) (AP via Google News)"
SubEvent23,"Aftershocks continue to strike northern Italy in the wake of yesterday's earthquake, which killed 17 people and left over 14,000 homeless in the Emilia-Romagna region. (Daily Telegraph)"
SubEvent24,"Heading toward Taiwan, slow-moving Typhoon Saola's torrential rains lead to the deaths of at least 12 people and displacement of 154,000 in the Philippines. (The Washington Post)"
SubEvent25,Taiwan closes schools and offices ahead of Typhoon Saola. (BusinessWeek)
SubEvent26,"Flooding in the Philippines capital Manila forces at least 20,000 people to flee their homes with the death toll after eight days of heavy rain throughout the country reaching 53. (AFP via Google)"
SubEvent27,Typhoon Haikui makes landfall over Xiangshan County in the Chinese province of Zhejiang. (CNN)
SubEvent28,The death toll in the Philippines capital Manila from flooding rises to 16 with rain continuing to fall. (BBC)
