content.event,id,SubEvent1,SubEvent2,SubEvent3,SubEvent4,SubEvent5,SubEvent6,SubEvent7,SubEvent8,SubEvent9,SubEvent10,SubEvent11,SubEvent12,SubEvent13,SubEvent14,SubEvent15,SubEvent16,SubEvent17,SubEvent18,SubEvent19,SubEvent20,SubEvent21,SubEvent22,SubEvent23,SubEvent24,SubEvent25,SubEvent26,SubEvent27,SubEvent28,SubEvent29,SubEvent30,SubEvent31,SubEvent32,SubEvent33,SubEvent34,SubEvent35,SubEvent36,SubEvent37,SubEvent38,SubEvent39,SubEvent40,SubEvent41,SubEvent42,SubEvent43,SubEvent44,SubEvent45,SubEvent46,SubEvent47,SubEvent48,SubEvent49,SubEvent50,SubEvent51,SubEvent52,SubEvent53,SubEvent54,SubEvent55,SubEvent56,SubEvent57,SubEvent58,SubEvent59,SubEvent60,SubEvent61,SubEvent62,SubEvent63,SubEvent64,SubEvent65,SubEvent66,SubEvent67,SubEvent68,SubEvent69,SubEvent70,SubEvent71,SubEvent72,SubEvent73,SubEvent74,SubEvent75,SubEvent76,SubEvent77,SubEvent78,SubEvent79,SubEvent80,SubEvent81,SubEvent82,SubEvent83,SubEvent84,SubEvent85,SubEvent86,SubEvent87,SubEvent88,SubEvent89,SubEvent90,SubEvent91,SubEvent92,SubEvent93,SubEvent94,SubEvent95,SubEvent96,SubEvent97,SubEvent98,SubEvent99,SubEvent100,SubEvent101,SubEvent102,SubEvent103,SubEvent104,SubEvent105,SubEvent106,SubEvent107,SubEvent108,SubEvent109,SubEvent110,SubEvent111,SubEvent112,SubEvent113,SubEvent114,SubEvent115,SubEvent116,SubEvent117,SubEvent118,SubEvent119,SubEvent120,SubEvent121,SubEvent122,SubEvent123,SubEvent124,SubEvent125,SubEvent126,SubEvent127,SubEvent128,SubEvent129,SubEvent130,SubEvent131,SubEvent132,SubEvent133,SubEvent134,SubEvent135,SubEvent136,SubEvent137,SubEvent138,SubEvent139,SubEvent140,SubEvent141,SubEvent142,SubEvent143,SubEvent144,SubEvent145,SubEvent146,SubEvent147,SubEvent148,SubEvent149,SubEvent150,SubEvent151,SubEvent152,SubEvent153,SubEvent154,assessed
joplinTornado2011,72678400833228800,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
joplinTornado2011,72787965184716800,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
joplinTornado2011,72871116724633600,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
joplinTornado2011,73023697123938304,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
joplinTornado2011,73050416832708608,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
joplinTornado2011,73151882612326400,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
joplinTornado2011,73212444264243200,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
joplinTornado2011,73214313971712000,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
joplinTornado2011,73429563790737408,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
joplinTornado2011,73432425660825600,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not yet assessed,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,Not this event,False
